Source,Round,Number,Question,Answer
2020 ERIS,7,18,"In this novel, a marriage proposal from St. John (sin-jin) Rivers is rejected. In this book, Grace Poole cares for the insane Bertha Mason in Thornfield Hall, which Bertha burns down. The title character declares ""Reader, I (*) married him"" at the beginning of the final chapter of this novel. Mr. Rochester marries the title character of, for 10 points, what Charlotte Brontë novel?",Jane Eyre
2020 ERIS,7,19,"Mozart owned one of these instruments made by Anton Walter that had levers operated by the player's knees. Unlike a harpsichord, which this instrument replaced, this instrument has mallets which strike its strings. The left una corda (*) pedal on this instrument makes it softer, and its damper pedal causes notes to be sustained longer. For 10 points, what instrument has 88 keys which are white and black?",piano [accept pianoforte or fortepiano]
2020 ERIS,7,20,"A company founded by this man has lobbied extensively to extend copyright protection to avoid his works entering the public domain. This man's brother Roy changed his unfinished design for a futuristic city, (*) EPCOT, into a theme park. The Magic Kingdom is part of a resort named for this man in Orlando. For 10 points, what animator's namesake company produces cartoons featuring Mickey Mouse?",Walt Disney [or Walter Elias Disney]
2020 ERIS,8,1,"The chemical symbols for these elements are used as abbreviations when writing electron configurations, because these elements have a full valence shell. These elements exist in nature as monoatomic gases. Fluorescent lighting often uses tubes containing these elements, most commonly (*) neon. The rightmost column of the periodic table contains, for 10 points, what group of unreactive elements?","noble gases [or group 18, or inert gases]"
2020 ERIS,8,2,"One character in this musical describes ""knobs on the doors"" and ""wall-to-wall floors"" as attractions of moving from Puerto Rico to New York in the song ""America"". This musical's song ""I Feel Pretty"" is sung by Maria, who holds her lover (*) Tony as he dies. For 10 points, name this musical inspired by Romeo and Juliet about a gang war between the Jets and the Sharks, composed by Leonard Bernstein.",West Side Story
2020 ERIS,8,3,"Two wolves named Geri and Freki follow this deity around, and he owns a horse named Sleipnir. With his brothers Vili and Ve, this deity helped create the world by killing Ymir. Hugin and Munin are two (*) ravens that help this deity receive information from around the world. He is often known as the Allfather, has just one eye, and is the father of Thor. For 10 points, name this chief Norse god.",Odin [or Óðinn or Wóden or Wuodan or Wuotan or basically anything that sounds like Wodan]
2020 ERIS,8,4,"For surviving this event, criticism was directed at J. Bruce Ismay, a chairman of White Star Lines. Robert Ballard searched the remains of this event, in which ""Nearer, My God, To Thee"" was played by a doomed (*) orchestra. The Carpathia rescued survivors of this event, in which a lack of lifeboats led to extra deaths. For 10 points, name this 1912 event in which an ""unsinkable"" ship hit an iceberg.",sinking of the RMS Titanic
2020 ERIS,8,5,"One common proof of this theorem places four congruent triangles inside each side of a square, forming a smaller square. The law of cosines is a generalization of this theorem, which can be applied to find the Euclidean (*) distance between two points. The length of a triangle's hypotenuse may be found with, for 10 points, what theorem about the squares of the side lengths of right triangles?",Pythagorean theorem
2020 ERIS,8,6,"A mercury thermometer is one object in this artist’s Why Not Sneeze, Rose Selavy?. This man drew a mustache and goatee on the Mona Lisa in his L.H.O.O.Q.. Many people have attempted to (*) pee in his most famous artwork. For 10 points, name this French Dadaist artist who created Fountain by writing the name ""R. Mutt"" on a urinal.",Marcel Duchamp
2020 ERIS,8,7,"New Haven, Connecticut is known for a distinctive variety of this food, including one type made with white clams, while the St. Louis style of this food is noted for its use of Provel cheese. Giordano's and Lou Malnati's are known for making the (*) deep-dish variety of this food popular in Chicago. For 10 points, what Italian food's New York style is characterized by a thin, foldable crust?",pizza [accept apizza; prompt on za]
2020 ERIS,8,8,"This country was invaded by the Soviet Union in 1979, prompting a 1980 boycott of the Olympics. This country's massive Bamiyan Buddha statues were destroyed by a terrorist group based in it called the (*) Taliban. It's not Iraq, but the United States has been fighting in this country since 2001. For 10 points, name this Asian country led from Kabul.",Islamic Republic of Afghanistan
2020 ERIS,8,9,"This character discovers that an old man he killed was actually King Laius. This character solves the riddle of the Sphinx, defeating it and becoming king of Thebes. This man stabs his eyes out with pins after realizing that his wife, Jocasta, is actually his (*) mother. For 10 points, what Theban king depicted in a trilogy of Sophocles plays was prophesied to marry his mother and kill his father?",Oedipus
2020 ERIS,8,10,"In Frank Lloyd Wright's Robie House, these objects have 30 and 60 degree lines to imitate plants. James Stewart starred in an Alfred Hitchcock mystery film named for a ""Rear"" one of these objects. Vista and XP were versions of an (*) operating system named for these objects and made by Microsoft. For 10 points, what objects are often made of stained glass in churches and let sunlight into buildings?",windows
2020 ERIS,8,11,"Seymour commits suicide at the end of this author's short story ""A Perfect Day for Bananafish"". The Glass family appears in many stories by this author, whose most famous work centers on a Pencey Prep (*) dropout who visits his sister Phoebe while in New York City. For 10 points, the ""phony""-hating Holden Caulfield is the protagonist of what author's novel The Catcher in the Rye?",J. D. Salinger [or Jerome David Salinger]
2020 ERIS,8,12,"Air resistance is caused by the air exerting this force on objects moving through it. This force is equal to the product of the normal force and its namesake coefficient, symbolized mu. This force can be ""kinetic"" or (*) ""static"", depending on whether its objects are already moving. Lubricants counteract, for 10 points, what force which can prevent objects from moving or slow them down?",friction [accept static or kinetic friction; prompt on drag or resistive force]
2020 ERIS,8,13,"An 1885 massacre targeted coal miners of this ethnicity in Rock Springs, Wyoming. The term ""coolie"" was disparagingly applied to laborers of this ethnicity on the Transcontinental Railroad. In 1882, a namesake (*) ""Exclusion Act"" barred members of this ethnicity from immigrating to the United States. For 10 points, identify these people who came to America from cities like Fuzhou or Shanghai.",Chinese people [or Chinese-Americans or similar answers; prompt on Asian-Americans or Asians]
2020 ERIS,8,14,"In addition to writing many of the Psalms, this man committed adultery with Bathsheba, producing his son, Solomon, who would succeed him. This man slew a Philistine giant near the Valley of Elah. A six-pointed (*) star named for this man is often used as a symbol of Judaism. For 10 points, name this king of Israel who used a slingshot to kill Goliath.",King David [or Dawid or Dawud]
2020 ERIS,8,15,"Oliver Hazard Perry won the Battle of Lake Erie during this war, and a freak tornado stopped the British army from continuing to set fire to one city during it. During an attack on Fort McHenry in this war, Francis Scott Key composed ""The (*) Star-Spangled Banner"". Washington, DC was burned during, for 10 points, what 19th century war between the US and Britain named for the year in which it began?",War of 1812
2020 ERIS,8,16,"The warming of this layer is the cause of polar vortex warming and weakening. A temperature inversion causes temperature to unusually increase with altitude in this layer of the atmosphere, thanks to a high concentration of (*) ozone, which also absorbs harmful radiation. Commercial aircraft cruise in the lower part of, for 10 points, what 2nd atmospheric layer, above the troposphere?",stratosphere
2020 ERIS,8,17,"The rock-carved Abu Simbel temples had to be relocated to higher ground thanks to a dam on this river creating Lake Nasser. This river's ""Blue"" and ""White"" branches merge at Khartoum. The (*) Aswan High Dam lies along this river, whose delta contains most of Egypt's population and agriculture. For 10 points, identify this African river, the longest in the world.","Nile River [or an-Nīl, or Piaro, or Ḥapī, or Iteru, or Àman Dawū]"
2020 ERIS,8,18,"This author created Fanny Price, who is sent by her poor family to live at the title estate in her novel Mansfield Park. This author wrote a book whose main character is lifelong friends with Mr. Knightley called Emma. Elizabeth (*) Bennett, one of five daughters, is the main character of another of this woman's novels. For 10 points, name this author of Pride and Prejudice.",Jane Austen
2020 ERIS,8,19,"It's not the mitochondrion, but this organelle is believed to have originated through endosymbiosis. ""Light"" and ""dark"" reactions are part of a process that takes place in this organelle and converts carbon dioxide and water into (*) glucose. The presence of a pigment in these organelles is responsible for plant leaves' green color. For 10 points, in what plant organelles does photosynthesis occur?",chloroplasts
2020 ERIS,8,20,"A minor character in this film claims he robbed the second-largest bank in France using only a ballpoint pen. In this film, Peter O'Toole plays a notoriously stingy critic named Anton Ego. This film's protagonist, who idolizes Auguste (*) Gusteau (goose-TOE), teams up with Linguini and is inspired by the motto ""anyone can cook."" For 10 points, name this Pixar animated film about a rodent who becomes a chef.",Ratatouille (rat-a-TOO-ee)
2020 ERIS,9,1,"The most widely accepted theory of this object's formation involves a collision with a Mars-sized object named Theia. Along with the sun, this object is responsible for Earth's (*) tides, and its synchronized rotation with the Earth means that only one side of it can be observed directly. The Apollo mission sent humans to, for 10 points, what only natural satellite of the Earth?",the moon [or Luna; accept answers like Earth's moon]
2020 ERIS,9,2,"This novel and Native Son were criticized by James Baldwin in his essay ""Everybody's Protest Novel."" Abraham Lincoln called the author of this novel ""the little lady who started this great war"" because of its perceived effect on the (*) abolition movement. A long-suffering slave dutifully serves his master nonetheless in, for 10 points, what novel written by Harriet Beecher Stowe?",Uncle Tom's Cabin
2020 ERIS,9,3,"The Teapot Dome scandal involved the secret leasing of land containing this resource. An organization of nations that export this resource, formed in 1960, is called OPEC. The Deepwater Horizon rig (*) spilled this resource into the Gulf of Mexico in 2010. BP and ExxonMobil produce, for 10 points, what fossil fuel which is drilled for by wells and often turned into gasoline?",crude oil [or petroleum]
2020 ERIS,9,4,"Online LGBT+ communities often refer to newly realized trans people as these objects. An outline of one of these objects was the default Twitter profile picture until 2017. Kylie Jenner (*) smashed one of these objects after a photo of one of them became the most-liked post on Instagram. Hidden secrets in websites are often called the ""Easter"" type of, for 10 points, what objects laid by chickens?",eggs
2020 ERIS,9,5,"This ruler commissioned the construction of St. Basil's Cathedral to celebrate the capture of Kazan. This man created the oprichniki secret police, which he used to sack the city of Novgorod and purge the (*) Russian nobility. The ""Chosen Council"" appointed this man as the first Tsar of Russia. For 10 points, name this 16th-century monarch popularly named for his brutality.",Ivan IV Vasilyevich [or Ivan Vasilyevich or Ivan the Terrible or Ivan the Formidable or Ivan the Fearsome or Ivan the Awesome or Ivan Grozny; prompt on Ivan]
2020 ERIS,9,6,"The Basel problem deals with the sum of the reciprocals of these numbers, which Euler proved is equal to pi squared over 6. The differences between these numbers are increasing consecutive (*) odd numbers. These are the only integers with an odd number of factors. For 10 points, name these numbers that are equal to another number times itself.",square numbers [or perfect squares; prompt on perfect powers]
2020 ERIS,9,7,"In one story, this deity transformed into a deer to trick the giants Otus and Ephialtes into killing each other. This goddess turned the hunter Actaeon into a stag for spying on her while (*) bathing, and she was born on the island of Ortygia a day before her twin brother, the god of the sun. For 10 points, name this Greek goddess of the hunt and the moon, the twin sister of Apollo.",Artemis
2020 ERIS,9,8,"This artist founded a movement with Georges Braque, and the suicide of his friend Carlos Casegemas inspired his Blue Period. This artist depicted a melancholy musician in his The Old (*) Guitarist. In another painting, this man depicted a mother grieving her dead son that depicts the bombing of the title town during the Spanish Civil War. For 10 points, name this Cubist who painted Guernica.",Pablo Picasso [accept Pablo Diego José Francisco de Paula Juan Nepomuceno María de los Remedios Cipriano de la Santísima Trinidad Ruiz y Picasso]
2020 ERIS,9,9,"Hindu examples of these events include a ritual called Antyesti, or ""last sacrifice"". Jews perform keriah by tearing their clothes apart at these events. In these non-calendar events, neither (*) Gloria is recited in the Latin Mass. Catholics might say the Requiem at these events, and in Islam, they must involve burial and not cremation. For 10 points, what events are observed after someone dies?",funerals [or burials or cremations until mentioned; prompt on death until “dies” is read]
2020 ERIS,9,10,"This quantity is equal to internal energy plus pressure times volume. Hess's law states that the change in this quantity is independent of the steps used in a chemical reaction, and Gibbs free energy is equal to this value minus the product of temperature and (*) entropy. For 10 points, identify this thermodynamic quantity which represents heat transfer and is written H.","enthalpy [prompt on H or heat until mentioned; do not accept or prompt on ""entropy""]"
2020 ERIS,9,11,"An invasive Burmese species of this animal is threatening Florida's Everglades. Some of these animals use a technique called ""sidewinding"" to move across loose sand. A desert-dwelling type of these animals can (*) shake their tails to produce a ""rattle"" for which that type is named. The black mamba is the most venomous type of, for 10 points, what slithering reptiles which include pythons and cobras?","snakes [accept Serpentes or serpents; accept Burmese pythons, rattlesnakes, or any other species of snake]"
2020 ERIS,9,12,"The narrator of this book ends it by declaring ""I am haunted by humans"". In this novel, Rudy pretends to be Jesse Owens by covering himself in charcoal and running a hundred meters. This novel's protagonist is the sole (*) survivor of her neighborhood's destruction in an Allied bomb raid. Death is the narrator of, for 10 points, what Markus Zusak book about a girl who steals literary works?",The Book Thief
2020 ERIS,9,13,"This country's island of Surtsey was formed in the 1980s by a volcanic eruption. This country's largest airport was converted from a U.S. naval base in the town of Keflavík. Air travel in Europe was disrupted by the 2010 eruption of this country's (*) volcano Eyjafjallajökull (EYE-yoff-yaht-lah-yo-kootl). Numerous geysers are found on, for 10 points, what North Atlantic island country with capital at Reykjavík?",Iceland [or Ísland]
2020 ERIS,9,14,"In this city, the Etemenanki Temple and the Ishtar Gate were constructed by King Nebuchadnezzar. After a ruler of this city destroyed Solomon's Temple, the Jews suffered a namesake (*) ""captivity"" in this city. Legal principles like ""an eye for an eye"" were established in this city by its ruler Hammurabi. For 10 points, name this Mesopotamian city home to some legendary Hanging Gardens.",Babylon [or Bābilim]
2020 ERIS,9,15,"Extremely powerful examples of these devices use a beam of electrons rather than light because of their lower wavelength. Specimens can be mounted on transparent glass (*) slides to be viewed using these devices. Antonie van Leeuwenhoek (lay-when-huuk) discovered cell structures and microorganisms using, for 10 points, what devices used to look at very small objects?","microscopes [or optical microscopes, or electron microscopes]"
2020 ERIS,9,16,"As mayor of his country's largest city, this politician created a bikeshare program that was nicknamed for him. Sajid Javid resigned from this man's cabinet out of anger at his advisor, Dominic (*) Cummings. In April 2020, this world leader was moved to intensive care after contracting COVID-19. The successor to Theresa May is, for 10 points, what current prime minister of the UK?",Boris Johnson [or BoJo]
2020 ERIS,9,17,"The book And the Band Played On criticized this president's lack of a response to the HIV/AIDS epidemic, which first became widespread during his administration. This man's administration illegally sold arms to Iran to fund Nicaraguan rebels in the (*) Iran-Contra affair. ""Trickle-down economics"" was popularized by, for 10 points, what Republican president who served through the 1980s?",Ronald [Wilson] Reagan
2020 ERIS,9,18,"Thomas Aquinas defined this property as ""the adequation of things and intellect"", an example of the ""correspondence theory"" of it. The principle of explosion says that if a contradiction exists, every statement can be proved to have this property. If P (*) implies Q, and P has this property, then Q also has this property. For 10 points, what property is the opposite of being false?",truth [or true]
2020 ERIS,9,19,"An extended simile in one of this man's poems proclaims that its subject is ""more lovely and more temperate."" One poem by this author proclaims that a woman's eyes are ""nothing like the sun."" This man's most famous poem begins (*) ""Shall I compare thee to a summer's day?"" Many sonnets were written by, for 10 points, what British poet and playwright who also wrote Macbeth?",William Shakespeare
2020 ERIS,9,20,"The Oulipo novel A Void by Georges Perec was written entirely without this letter. The major key denoted by this letter uses four sharps. In mathematics, this letter is written backwards to mean ""there (*) exists"" and in lowercase it represents the base of the natural logarithm. The most commonly used letter in the English language is, for 10 points, what fifth letter of the alphabet?",e
2020 ERIS,10,1,"This practice is the subject of the Lutheran belief in sacramental union as well as the Catholic doctrine of trans-substantiation, which holds that the objects used in it physically (*) transform into the body and blood of Christ. For 10 points, what Christian sacrament commemorates the Last Supper by eating bread and wine?","holy communion [or the Eucharist, or the Lord's Supper]"
2020 ERIS,10,2,"This country's flag was said to have miraculously fallen from the sky during a battle in Estonia. Prussia invaded this country during a dispute over Schleswig-Holstein, a territory which now lies just over its southern border with (*) Germany. Sweden and Norway formed the Kalmar Union with, for 10 points, what Scandinavian country led from Copenhagen, home to the Danes?",Denmark [or Danmark]
2020 ERIS,10,3,"In Sumerian mythology, Utnapishtim is tasked by the god Enki with surviving one of these events. Deucalion and Pyrrha survived one of these events caused by Zeus by building a chest. God creates a (*) rainbow after one of these events in the Bible, during which two of every animal are brought on board Noah's Ark. For 10 points, what sort of event was caused by rain for forty days and forty nights?",floods [accept deluges]
2020 ERIS,10,4,"This quantity is equal to the square of momentum divided by double the mass. In addition to momentum, elastic collisions conserve this quantity. When an object falls, (*) potential energy is converted into this kind of energy. One-half mass times velocity squared is equal to, for ten points, what type of energy associated with an object's movement?",kinetic energy [prompt on energy]
2020 ERIS,10,5,"In this play, one character answers ""No. Saints and poets maybe"" in response to a question. The hymn Blessed Be the Ties that Bind is sung once each act in this play. Near the end of this play, Emily (*) Webb relives her twelfth birthday after dying during childbirth. The fourth-wall-breaking Stage Manager narrates, for 10 points, what Thornton Wilder play set in Grover's Corners?",Our Town
2020 ERIS,10,6,"This president's ""Square Deal"" initiative broke up monopolies, and he gave an 84-minute campaign speech in Milwaukee despite being shot just before it. This man became president after the assassination of William (*) McKinley, and he led the Rough Riders during the Spanish-American War. For 10 points, name this president who lends his name to a stuffed bear.","Theodore Roosevelt [or Teddy Roosevelt, or TR; prompt on Roosevelt alone]"
2020 ERIS,10,7,"Elizabeth I may have used ceruse, one of these products which caused severe lead poisoning with repeated use. One brand of these products called Fenty was launched by Rihanna and designed to be inclusive of people with darker (*) skin tones. Users of these products may use brushes or their fingers to apply foundation. For 10 points, what cosmetic products include lipstick and eyeliner?",makeup [accept foundation until mentioned; prompt on cosmetics or beauty products]
2020 ERIS,10,8,"The first black woman with this job, Bessie Coleman, died in a 1926 accident. A man with this job had his son kidnapped by Bruno Hauptmann in the ""Crime of the Century."" Fred Noonan assisted a (*) woman with this job during a trip in which they both disappeared near Howland Island. The ""Spirit of St. Louis"" was used by a man with, for 10 points, what job of Charles Lindbergh and Amelia Earhart?",aviator [or pilot]
2020 ERIS,10,9,"Some speakers of this language add the consonant 'r' to the end of syllables in a process called erhua. This language contains measure words such as ""ge"" and ""zhi"", which are used to quantify nouns. During the 20th century, some (*) characters used to write this language were simplified, though the traditional forms are still used in Taiwan. For 10 points, name this language spoken in Beijing.",Mandarin Chinese [accept either underlined portion or Standard Chinese; accept Guānhuà or Pǔtōnghuà or Guóyǔ or Huéyǔ; do NOT accept or prompt on “Cantonese”]
2020 ERIS,10,10,"These objects are predicted to lose mass through Hawking radiation. The no-hair theorem states that these objects are described only by their mass, charge, and spin. The Schwarzschild (shvaarts-shilt) radius is the size of the (*) event horizon of these objects, inside which the escape velocity exceeds the speed of light. Massive collapsing stars form, for 10 points, what objects from which light cannot escape?",black holes
2020 ERIS,10,11,"This man's military career began in disaster when his forces killed a neutral French commander at Jumonville Glen, sparking a war. This former aide to Edward Braddock was forced to surrender Fort Necessity. The Conway Cabal failed to depose this general, who later personally put down the (*) Whiskey Rebellion during his presidency. For 10 points, name this commander-in-chief of the Continental Army.",George Washington
2020 ERIS,10,12,"This country's Darién Gap is a thick section of rainforest impassable by roads which makes it impossible to drive between North America and South America. This country's artificial Lake Gatún was created to serve as the highest point of a (*) waterway which connects the Atlantic and Pacific oceans. For 10 points, name this Central American country which contains a namesake canal.",Republic of Panama [or República de Panamá]
2020 ERIS,10,13,"This scientist noted differently-shaped beaks adapted to different island environments in a group of finches named for him. This man discovered those birds on a journey aboard the HMS (*) Beagle that inspired his treatise On the Origin of Species. The Galapagos Islands' ecology was studied by, for 10 points, what naturalist who formulated the theory of natural selection?",Charles Darwin
2020 ERIS,10,14,"A theme in this novel centers on the repeated disappearance of the donkey Dapple. One character in this novel declares himself to be ""the Knight of the White Moon."" This novel's title character longs for (*) Dulcinea, rides the horse Rocinante, and has a companion named Sancho Panza. For 10 points, name this novel about an eccentric Spanish man who tilts at windmills, by Miguel de Cervantes.",Don Quixote [or The Ingenious Gentleman Don Quixote de la Mancha or El Ingenioso Hidalgo Don Quijote de la Mancha]
2020 ERIS,10,15,"This state contains the highest point in the U.S. east of the Mississippi, its Mount Mitchell. This state shares the Great Smoky Mountains National Park with its western neighbor, (*) Tennessee. This state's Duke University contests a fierce sporting rivalry with its public flagship school. For 10 points, name this southeastern US state with capital at Raleigh.",North Carolina
2020 ERIS,10,16,"The derivative of a function at a point is this property of a line tangent to the graph at that point. If two lines are parallel, they have the same value for this property, and this property is undefined for (*) vertical lines. Rise over run is equal to, for 10 points, what value which measures the ""steepness"" of a line on the coordinate plane?",slope
2020 ERIS,10,17,"Vishnu's avatar Hayagriva has this animal's head. Feral populations of this animal live on Assateague Island in Maryland. The height of these animals is often measured in ""hands"". One of these animals named (*) Secretariat won the Triple Crown of races involving them, which includes the Kentucky Derby. For 10 points, what animals were ridden by cavalry soldiers?",horses [accept racehorses or warhorses]
2020 ERIS,10,18,"The tune ""Salt Peanuts"" was written by one player of this instrument known for puffing his cheeks and playing a bent version of it. In addition to Dizzy Gillespie, this instrument was also played by a musician nicknamed (*) ""Satchmo"". This was the instrument of the lead artist on the album Kind of Blue. Jazz legends Miles Davis and Louis Armstrong played, for 10 points, what high brass instrument?",trumpets
2020 ERIS,10,19,"In one book by this author, Henry commits treason to help the king of the rats, but falls off a cliff and dies when his bat, Ares, fails to save him. This author of Gregor the Overlander also wrote a novel in which the protagonist chooses to shoot Elizabeth (*) Coin rather than Coriolanus Snow at a public execution. Katniss Everdeen was created by, for 10 points, what author of The Hunger Games?",Suzanne Collins
2020 ERIS,10,20,"Solutions of potassium permanganate, which are this color, can leave lasting stains if exposed to skin. A historically important dye of this color was produced from murex snails. Liquid and gaseous (*) iodine has this color under standard conditions. The compound '6,6'-dibromoindigo is one dye with, for 10 points, what color which can be produced by mixing blue and red paint?","purple [accept any different shades of purple like violet; accept indigo until ""dibromoindigo""; accept pink until ""murex""; accept Tyrian purple or Imperial purple or Phoenician purple; prompt on Phoenician red or Tyrian red but do not accept or prompt on ""red"" alone or on any other colors]"
2020 ERIS,11,1,"One member of this family was a founding member of the board of Bethesda Softworks before his 2020 death. Another member of this family wore a controversial green jacket saying ""I really don't care"". Jared (*) Kushner's wife is a member of this family named Ivanka. A Slovenian former model named Melania is part of, for 10 points, what family which includes the current U. S. President?",Trump family [accept names of specific members of the Trumps]
2020 ERIS,11,2,"This function is generalized to the complex plane by the gamma function. The number of ways to choose r objects out of n objects, if order matters, is equal to this function of n divided by this function of r. This function of n gives the number of ways to (*) order n objects. An exclamation point denotes, for, 10 points, what function equal to the product of all integers up to the input?",factorial [prompt on exclamation point until read]
2020 ERIS,11,3,"Fielding Yost coached this team to a 49–0 destruction of Stanford in the first Rose Bowl. This school’s alumni include Charles Woodson and Tom Brady. This team plays in the (*) largest football stadium in America, nicknamed ""The Big House"". Jim Harbaugh is the head football coach at, for 10 points, what Big Ten university in Ann Arbor known for their intense rivalry with Ohio State?","Michigan Wolverines [or the University of Michigan or UMich; accept any underlined portion; prompt on U-M or U of M; do NOT accept or prompt on ""Michigan State University"" or ""MSU""]"
2020 ERIS,11,4,"A sonnet written by this man begins ""When I Consider How My Light Is Spent"" and discusses his blindness. This man sought to “justify the ways of God to man” in a Biblically-inspired epic poem partially set in the city of (*) Pandemonium which describes the story of Adam and Eve and the fall of Lucifer. For 10 points, name this English poet who wrote the epic Paradise Lost.",John Milton
2020 ERIS,11,5,"This country's ""shame culture"" was contrasted with America's ""guilt culture"" in Ruth Benedict's The Chrysanthemum and the Sword. At the end of World War II, this country issued the Jewel Voice Broadcast announcing its surrender after (*) nuclear bombs were dropped on its cities of Hiroshima and Nagasaki. For 10 points, in what country are ramen and sushi popular foods?",Japan [or Nippon or Nihon]
2020 ERIS,11,6,"Heavy pollution caused the Cuyahoga River to suffer this type of event in 1969. Labor laws were tightened after a 1911 one of these events killed 146 garment workers in New York City. One of these disasters allegedly began in Catherine (*) O'Leary's barn and destroyed much of the city of Chicago. For 10 points, name this type of disaster whose prevention is advocated by Smokey Bear.","fires [or wildfires, structure fires, etc.; accept Cuyahoga River Fire, Triangle Shirtwaist Factory Fire, or Great Chicago Fire of 1871; accept descriptive answers like ""it burned down"" that are obvious synonyms for fires]"
2020 ERIS,11,7,"In this organelle, the protein cytochrome C transfers electrons to complexes II and IV during the oxidation stage of the electron transport chain. This organelle contains its own DNA, which is inherited exclusively from the (*) mother. Cellular respiration occurs in, for 10 points, what organelle that produces ATP and is known as the ""powerhouse of the cell""?",mitochondrion [or mitochondria]
2020 ERIS,11,8,"This man showed horses and a carriage with elongated legs in his version of The Temptation of St. Anthony. This man replaced the headset of a telephone with a lobster in one work, and depicted a swarm of ants on one of many melting (*) clocks in his most famous painting. For 10 points, name this Spanish surrealist painter of The Persistence of Memory.",Salvador Dalí
2020 ERIS,11,9,"This author recalled his experience serving in the air force in World War II in his memoir Going Solo. A book by this author ends when the title character boards the ""Great Glass Elevator."" In a novel by this author, Miss Honey adopts a schoolgirl who scares away Miss (*) Trunchbull with her telekinetic powers. For 10 points, name this author of Matilda and Charlie and the Chocolate Factory.",Roald Dahl
2020 ERIS,11,10,"The Chikyu Hakken project is attempting to receive samples from this region. The asthenosphere is a layer of this region with low resistance where plastic flow occurs. The Moho discontinuity is the upper boundary of this layer, whose (*) convection drives the movement of tectonic plates. For 10 points, name this largest layer of the earth, lying under the crust and above the outer core.",the mantle
2020 ERIS,11,11,"This man won the Battle of Pharsalus against the forces of Pompey the Great, securing victory in a civil war. This man captured the chief Vercingetorix at the end of the Gallic Wars, which he won. This man brought his army across the (*) Rubicon in defiance of the Senate, but was eventually assassinated on the Ides of March. For 10 points, name this Roman dictator who was stabbed by Brutus.",[Gaius] Julius Caesar [accept either underlined portion]
2020 ERIS,11,12,"In one book in this language, the protagonist decides to stop growing at the age of three when he receives a tin drum. Another book in this language depicts Hans Castorp's stay in a Swiss sanitorium. Novels like Steppenwolf were written in this language by Hermann (*) Hesse. Thomas Mann and Günter Grass wrote in, for 10 points, what language in which the memoir Mein Kampf was written by Adolf Hitler?",German [or Deutsch]
2020 ERIS,11,13,"This goddess and her mother were venerated in the Eleusinian Mysteries, which celebrated her annual reunion with her mother. This goddess's mother caused the earth to become barren while searching for her. This goddess ate six (*) pomegranate seeds, meaning that she must spend six months of every year in the underworld. The daughter of Demeter is, for 10 points, what goddess abducted by Hades?",Persephone [accept Kore or Proserpina]
2020 ERIS,11,14,"The first of these conflicts ended with the Battle of Ascalon, a decisive victory for Godfrey of Bouillon, and resulted in Baldwin I ruling the Kingdom of Jerusalem. The fourth of these military campaigns was diverted to sack Constantinople rather than going to the (*) Middle East. Christians fought Muslims for control of the Holy Land in, for 10 points, what series of medieval religious wars?",the Crusades [accept specific crusades]
2020 ERIS,11,15,"In this city, Jan (yahn) Masaryk was likely murdered by being thrown out of a window in 1948, an incident often called its ""Fourth Defenestration"". Alexander Dubček (doob-check) led from this city, and Jan Palach (yahn pah-lock) set himself on fire in its Wenceslas Square. A namesake 1968 (*) ""Spring"" prompted a brutal Soviet invasion of, for 10 points, what capital of the Czech Republic?",Prague [accept Praha]
2020 ERIS,11,16,"In 1989, the scientists Martin Fleischmann and Stanley Pons claimed to have accomplished a ""cold"" version of this process. Tokamaks are used to perform this process by using a powerful magnetic field. This process occurs in (*) stars, transforming hydrogen into helium. For 10 points, name this process in which two atoms join together, contrasted with nuclear fission.",nuclear fusion [do NOT accept or prompt on nuclear fission]
2020 ERIS,11,17,"24 caprices were written for this instrument by one virtuoso player of it, Niccolò Paganini. The Four Seasons were a set of concerti composed for this instrument by Antonio (*) Vivaldi. Stradivarius manufactured many high-quality examples of these instruments. The viola is slightly lower-pitched than, for 10 points, what smallest string instrument in the orchestra?",violin
2020 ERIS,11,18,"The western part of this country is home to the mountainous Jasper and Banff National Parks. This country's north contains Great Slave Lake and Great Bear Lake, as well as Alert, the (*) northernmost permanent settlement on earth. This country's province of British Columbia contains the city of Vancouver. For 10 points, name this country which includes Alberta, Quebec, and Ontario.",Canada
2020 ERIS,11,19,"This quantity is defined in units of coulombs per second, and diodes restrict this quantity to one direction. This quantity can be measured by ammeters, and Ohm's law states that voltage divided by (*) resistance is equal to this quantity. This quantity is measured in units of amperes. For 10 points, name this quantity that measures the amount of electrical charge flowing through a wire.","current [accept amperage until ""amperes"" is read]"
2020 ERIS,11,20,"After members of one religion perform this action for a day, they end it by having iftar. The pillar of Islam known as sawm requires every Muslim to perform this action during a certain period that ends with (*) Eid al-Fitr. Between sunset and sunrise during the month of Ramadan, Muslims perform, for 10 points, what action of abstaining from eating food?","fasting [accept descriptive answers like not eating until ""eating"" is read and prompt afterwards; accept sawm until read, prompt on observing Ramadan or similar answers by asking ""what are they doing to observe Ramadan?"" until ""Ramadan"" is read]"
2020 ERIS,12,1,"This number is the only number that is used in the expression of the golden ratio through continued fractions. Raising i to the fourth power gives this number, while raising anything to the (*) zeroth power also gives this number. This number is the only positive integer that is neither prime nor composite. The multiplicative identity is, for 10 points, what smallest positive integer?",one
