Source,Round,Number,Label,Question,Answer
2020 ERIS,10,2,A,"Identify this social cause which sought to ban the consumption of beverages like beer, rum, and bourbon in the United States.",temperance movement [or prohibitionist movement; accept teetotalism; accept any descriptive answers like banning alcoholic drinks]
2020 ERIS,10,2,B,"Carrie Nation, a radical temperance activist, was infamous for violently attacking saloons and bars using one of these weapons to destroy kegs of alcohol.",hatchets [or axes]
2020 ERIS,10,2,C,"During the prohibition era, this Chicago gangster built an empire on the sale of illegal alcohol, a practice known as bootlegging. Nicknamed ""Scarface"", this perpetrator of the St. Valentine's Day Massacre would later be jailed at Alcatraz after his conviction for tax evasion.",Al Capone [or Alphonse [Gabriel] Capone]
2020 ERIS,10,3,L,"Answer the following about gay characters in young adult literature, for 10 points each:",
2020 ERIS,10,3,A,This headmaster of Hogwarts in the Harry Potter series had an affair with Gellert Grindelwald. He was murdered by Severus Snape in the sixth Harry Potter novel.,Albus Percival Brian Wulfric Dumbledore [accept either underlined portion]
2020 ERIS,10,3,B,"In the Percy Jackson series, Nico di Angelo, a son of this Greek god, is forced by Cupid to come out as gay. This member of the Big Three put Nico and his sister Bianca in the Lotus Hotel.",Hades
2020 ERIS,10,3,C,"This author wrote Two Boys Kissing and Boy Meets Boy, two books featuring gay characters. This author also cowrote Will Grayson, Will Grayson with John Green, a book that centers around the fact that a straight boy and a gay boy both share the title name.",David Levithan
2020 ERIS,10,4,L,This empire's first ruler was Genghis Khan. For 10 points each:,
2020 ERIS,10,4,A,"Name this largest contiguous land empire in world history. It stretched from Siberia to Eastern Europe, eventually fracturing into several smaller realms such as the Chagatai Khanate.",Mongol Empire [or Ilk Mongol Uls]
2020 ERIS,10,4,B,"This grandson of Genghis established the Yuan Dynasty in China, becoming the first non-Han emperor to control all of China after his conquest of the Song Dynasty and accession to the imperial throne.",Kublai Khan [or Hubilai]
2020 ERIS,10,4,C,This successor state of the Mongol Empire was founded by Batu Khan and ruled over the steppes of Eastern Europe and Central Asia. It was eventually defeated by Muscovy at the Great Stand on the Ugra River.,"the Golden Horde [or Altan Ord, or Altın Urda, or Ulug Ulus, or the Ulus of Jochi, or the Kipchak Khanate; prompt on the Great Horde]"
2020 ERIS,10,5,L,This composer's preludes include The Girl With the Flaxen Hair. For 10 points each:,
2020 ERIS,10,5,A,Name this French composer who is best known for pieces like La mer and Clair de lune.,Claude Debussy [or Achille-Claude Debussy]
2020 ERIS,10,5,B,"Debussy was influenced by Inayat Khan, a Sufi mystic and musician from this country. Ravi Shankar is a musician who plays the sitar, a traditional instrument from this country, and its classical music is based on the principles of raga and tala.",India [or Bhārāt]
2020 ERIS,10,5,C,"Debussy was known for his musical integration of silence, something that was taken perhaps a bit too far by this American minimalist composer in his work 4'33"", in which the performer sits still for the title amount of time.",John Cage
2020 ERIS,10,6,L,"This city's Eisbach contains standing waves for surfers to practice, despite this city being far inland. For 10 points each:",
2020 ERIS,10,6,A,"What capital of Bavaria, located on the River Isar, is noted for its many breweries, such as the 800-year-old Augustiner Keller, as well as its yearly Oktoberfest beer festival?",Munich [or München]
2020 ERIS,10,6,B,"Munich is located in the southeast portion of this country, whose other cities include Hamburg and Frankfurt. It is the most populous country located entirely in Europe.",Federal Republic of Germany [or Bundesrepublik Deutschland]
2020 ERIS,10,6,C,"Munich's Nymphenburg Park contains one of these buildings. Elsewhere in Bavaria, Ludwig II built the famous Neuschwanstein (noy-SHVAAN-shtine) one of these buildings atop a hill, which remains a popular tourist attraction.",a castle [or schloss]
2020 ERIS,10,7,L,"In this book, a character named Dolphus Raymond fakes alcoholism. For 10 points each:",
2020 ERIS,10,7,A,"Name this book set in Maycomb, Alabama in which Tom Robinson is falsely convicted of raping Mayella Ewell despite the defenses of the lawyer Atticus Finch.",To Kill a Mockingbird
2020 ERIS,10,7,B,This American author who died in 2016 wrote To Kill a Mockingbird.,Harper Lee
2020 ERIS,10,7,C,Lee's friendship with Truman Capote inspired this character in To Kill a Mockingbird. This character visits Maycomb every summer from Meridian and quickly becomes friends with Scout and Jem.,Dill Harris [or Charles Baker Harris; accept any underlined portion]
2020 ERIS,10,8,L,Answer some questions about computer components. For 10 points each:,
2020 ERIS,10,8,A,"These components were the focus of the race to 5 gigahertz, and can have one or multiple cores. Manufacturers of these components include Intel.",processors [accept central processing units or CPUs]
2020 ERIS,10,8,B,"Primary manufacturers of these components include NVidia and AMD, and later iterations of these components have included hardware-accelerated ray tracing.",graphics cards [accept graphics processing units or GPUs]
2020 ERIS,10,8,C,"Computers use these devices to display things to users. In laptop computers, these screens are typically attached to the rest of the computer, while desktop computers often have separate versions.",monitors
2020 ERIS,10,9,L,"In a dispute over where to build this city, its eventual founder claimed to have seen twelve auspicious birds to his brother's six. For 10 points each:",
2020 ERIS,10,9,A,"Name this city in modern-day Italy, named for the brother of Remus. It eventually became the center of an empire whose gods included Jupiter, Mars, and Pluto.",Rome
2020 ERIS,10,9,B,"Romulus and Remus were legendarily raised by one of these creatures, who were honored in the festival of Lupercalia.",a female wolf [accept wolves]
2020 ERIS,10,9,C,"After Romulus and Remus were abandoned on the banks of this river, its god saved them. This third-longest river in Italy flows through Rome.",the Tiber river [accept Tiberinus]
2020 ERIS,10,10,L,"The current holder of this position, Tenzin Gyatso, is one of only two living people who were heads of state during World War II. For 10 points each:",
2020 ERIS,10,10,A,"Name this position held by the spiritual leader of Tibetan Buddhism, currently occupied in exile in Dharamsala, India due to oppression by the Chinese government.",Dalai Lama
2020 ERIS,10,10,B,"Tibetan Buddhists often worship by repeatedly chanting these sacred phrases, which include ""om mani padme hum"".",mantras [or sngags]
2020 ERIS,10,10,C,"Tibetan Buddhists are split into schools named after ""Red"" and ""Yellow"" types of these garments. Muslims often wear one of these garments called a taqiyah during prayer.",hats [accept specific types of hats like skullcaps]
2020 ERIS,10,11,L,"In Parkinson's disease, the body produces lower amounts of this neurotransmitter. For 10 points each:",
2020 ERIS,10,11,A,Name this neurotransmitter often associated with pleasure and emotional highs. Anticipation of rewards increases the amount of this chemical in the brain.,dopamine
2020 ERIS,10,11,B,"This other neurotransmitter is believed to play major roles in mood and appetite, among other things. Its reuptake is inhibited by SSRIs.",serotonin
2020 ERIS,10,11,C,"SSRIs are often prescribed to treat this mental health condition which may be caused by a lack of serotonin. It can cause low self-esteem, a prolonged lack of happiness, or a loss of interest in previously enjoyable activities.",clinical depression [or major depressive disorder or MDD]
2020 ERIS,10,12,L,"For 10 points each, answer the following about unusual self-portraits.",
2020 ERIS,10,12,A,"This man depicted himself with the title features in his Self-Portrait with Seven Fingers. He depicted a burning synagogue in his depiction of the Crucifixion, and his most famous work, I and the Village, was inspired by a village in Belarus.",Marc Chagall
2020 ERIS,10,12,B,"This man depicted himself thrice in his Triple Self-Portrait. He also painted for the Saturday Evening Post, and depicted Ruby Bridges walking to school escorted by National Guardsmen in The Problem We All Live With.",Norman Rockwell
2020 ERIS,10,12,C,"Rockwell also created a series of paintings depicting this many freedoms. In another unusual self-portrait, Belgian surrealist René Magritte painted himself with this many arms, two more than the usual number.",four
2020 ERIS,10,13,L,"This number is so large that if a perfectly efficient computer the size of the Earth were to store its value, it would collapse into a black hole. For 10 points each:",
2020 ERIS,10,13,A,"Identify this number equal to the value of an extremely large exponentiation tower, which was popularized in a 1977 column by Martin Gardner, at which point it was the largest number ever used in a serious mathematical proof.",Graham's number
2020 ERIS,10,13,B,"Graham's number is the upper bound to a problem from Ramsey theory, a subfield of graph theory which involves doing this process to graphs in certain ways. A famous computer-assisted proof by Haken and Appel showed that any map can have this process done to it with only four different labels.",graph coloring
2020 ERIS,10,13,C,"Specifically, the problem asked for the smallest dimension n in which a complete graph on the vertices of an n-dimensional hypercube, if each edge were colored red and blue, must contain a mono-colored one of these shapes. These shapes have four equal sides and four right angles.",squares [prompt on rectangles or quadrilaterals]
2020 ERIS,10,14,L,"Over 250 of these things are currently being stored in Moses Lake, Washington. For 10 points each:",
2020 ERIS,10,14,A,Name these things which were withdrawn from service worldwide in March 2019 following two deadly accidents in 6 months caused by a faulty MCAS system which the manufacturer of these things failed to mention in their manuals.,737 MAX airplanes [prompt on airplanes or passenger airplanes or 737 airplanes; accept but DO NOT OTHERWISE REVEAL answers like Boeing 737 MAX]
2020 ERIS,10,14,B,"This American aircraft manufacturer founded in Seattle produces the 737 MAX. Their primary competitor is Airbus, and their other planes include the double-decker 747.",Boeing
2020 ERIS,10,14,C,"A recent Boeing 737 crash that was not caused by manufacturing faults, meanwhile, occurred in January 2020 when Ukraine International Airlines flight 752 was shot down shortly after departing from Tehran, the capital of this country, by its military.",Islamic Republic of Iran
2020 ERIS,10,15,L,"Answer the following about oceanic trenches, for 10 points each:",
2020 ERIS,10,15,A,"Ocean trenches are formed by this geological process, in which one tectonic plate slides under another at a convergent plate boundary.",subduction
2020 ERIS,10,15,B,"The regions near subduction zones often contain large numbers of this type of mountain, examples of which include Mount St. Helens in Washington and Kilauea in Hawaii. These mountains typically eject large amounts of magma when they erupt.",volcanoes
2020 ERIS,10,15,C,"These other undersea formations are caused by volcanic activity, usually at divergent plate boundaries. They may form “black smokers” or “white smokers”, and release warm, nutrient-rich water through the seabed, creating habitats for animals like the giant tube worm.",hydrothermal vents [prompt on thermal vents]
2020 ERIS,10,16,L,Isaac Newton first formulated a universal law of this force. For 10 points each:,
2020 ERIS,10,16,A,"Name this force whose magnitude is equal to the product of the masses of two objects, times a namesake constant, divided by the square of the distance between them.",gravity [accept word forms like gravitation]
2020 ERIS,10,16,B,A common system involving Newton's laws of gravitation is a problem involving this many bodies orbiting each other. Newton also formulated this many laws of motion.,three
2020 ERIS,10,16,C,"Lagrange found special cases of the three-body problem in which the bodies could exist in stable or unstable versions of this state. When the net force on an object is zero, it's in this state.",equilibrium
2020 ERIS,10,17,L,"This prime minister was nicknamed ""Milk Snatcher"" after cutting school meal benefits. For 10 points each:",
2020 ERIS,10,17,A,Name this first female European Prime Minister who was almost killed in an IRA bombing in Brighton.,Margaret Thatcher
2020 ERIS,10,17,B,"Thatcher was the prime minister of this country, whose regions include Wales and Scotland and which has also been led recently by David Cameron.","United Kingdom of Great Britain and Northern Ireland [accept the UK or Great Britain; do NOT accept or prompt on ""England""]"
2020 ERIS,10,17,C,"Thatcher successfully ended a nationwide strike of people in this profession led by Arthur Scargill. This profession was concentrated in northern England and the Welsh mountains, and is also common in the U.S. in states like West Virginia.",coal mining [accept word forms; prompt on mining by asking “for what resource?”]
2020 ERIS,10,18,L,"In this movie, the main character kills his girlfriend after a Ferris wheel breaks down. For 10 points each:",
2020 ERIS,10,18,A,Name this 2017 movie adaptation of a manga and anime series about Light Turner finding a book with the power to kill.,Death Note
2020 ERIS,10,18,B,"The Death Note adaptation was headed by this streaming service after they bought the rights to the movie from Warner Bros. This streaming service's first original TV series, House of Cards, achieved widespread popularity.",Netflix
2020 ERIS,10,18,C,"In summer 2020, Netflix brought this animated series to its online streaming services. This series depicts Aang (rhymes with “bang”), who has the power to perform four different kinds of magic.",Avatar: The Last Airbender [or ATLA; prompt on Avatar alone]
2020 ERIS,10,19,L,"Aristotle tutored this man, who died in Babylon at age 32, leaving his empire to be split among the Diadochi. For 10 points each:",
2020 ERIS,10,19,A,"Name this king of Macedon who built an empire spanning from Greece to India. He named many cities after himself, including one in Egypt home to a famous lighthouse.","Alexander the Great [or Alexander III of Macedon, or Alexandros ho Megas, or Alexandros III ho Makedon; prompt on Alexander or Alexandros]"
2020 ERIS,10,19,B,This man was Alexander the Great's father. He was assassinated by one of his bodyguards and led the League of Corinth.,Philip II of Macedon [or Philippos II ho Makedon; prompt on Philip]
2020 ERIS,10,19,C,"In the Battles of Issus and Gaugamela, Alexander defeated Darius III, the ruler of this large empire centered on modern-day Iran.","the First Persian Empire [or the Achaemenid Empire, or Xšāça]"
2020 ERIS,10,20,L,"This collection includes tales told by the Pardoner and the Nun's Priest. For 10 points each,",
2020 ERIS,10,20,A,Name this collection in which pilgrims tell stories on a pilgrimage to the tomb of Thomas Becket.,The Canterbury Tales
2020 ERIS,10,20,B,This British author wrote The Canterbury Tales and was a contemporary of Giovanni Bocaccio.,Geoffrey Chaucer
2020 ERIS,10,20,C,"This character in The Canterbury Tales tells a tale about Arcite and Palamon, who both fall in love with Emily upon seeing her. This character's tale follows the work's general prologue.",the Knight
2020 ERIS,11,1,L,"This novel's lesser characters include 'party enemy' Emmanuel Goldstein, who may or may not actually exist, and a philologist named Syme. For 10 points each:",
2020 ERIS,11,1,A,"Name this dystopian novel by George Orwell about Winston Smith's life under the repressive regime of Big Brother, named for the year in which it takes place.",Nineteen Eighty-Four [or 1984]
2020 ERIS,11,1,B,"In 1984, Winston has a secret affair with a woman with this name. Mario Vargas Llosa (YO-sa) wrote a novel partially titled for a character with this first name ""and the Scriptwriter"".","Julia [accept Aunt Julia and the Scriptwriter; also, I guess you can accept pronunciations that say ""HOO-lia"" because Vargas Llosa wrote in Spanish]"
2020 ERIS,11,1,C,"Early in the novel, Winston's suspicions that Julia is a member of a resistance group are confirmed when she hands him a note containing this three-word confession.","""I love you"" <Kang, Literature>"
2020 ERIS,11,2,L,Benjamin Edes printed a famous engraving of this event. For 10 points each:,
2020 ERIS,11,2,A,Identify this 1770 event in which British soldiers shot and killed several people protesting colonial laws in the capital of Massachusetts.,Boston Massacre [accept the Incident on King Street from traitorous royalists]
2020 ERIS,11,2,B,This dock worker was the first victim of the Boston Massacre. Most historians agree he is both of African and Native American descent.,Crispus Attucks
2020 ERIS,11,2,C,The Boston Massacre was depicted in an engraving by this silversmith. This freedom fighter orchestrated a signal to light one lantern if British forces were advancing by land and two if by sea in one of his most famous feats.,"Paul Revere <Tisdale, History>"
2020 ERIS,11,3,L,"Answer some questions about words prefixed with re-, for 10 points each:",
2020 ERIS,11,3,A,"This word refers to an item defined based on itself, such as a sequence where each number is defined as a function of previous numbers in the sequence.",recursion [or recursive or other word forms]
2020 ERIS,11,3,B,"This term can describe an election to remove a politician in the middle of their term, a notice not to use a certain product, or your ability to remember things like the answer to this bonus.",recall
2020 ERIS,11,3,C,"This word means compensation paid by a government for a historical wrong. Ta-Nehisi Coates wrote an essay in the Atlantic titled ""The Case For"" this word, arguing that Black Americans should be paid to compensate for a history of oppression.","reparations <McAvoy-Bickford, Miscellaneous>"
2020 ERIS,11,4,L,The pivotal event of this play comes after Hally spits in Sam's face and orders him to call him by the title name. For 10 points each:,
2020 ERIS,11,4,A,"Name this play about the increasing mistreatment of two black servants by their master's teenage son, the magnum opus of Athol Fugard.",Master Harold ...and the Boys
2020 ERIS,11,4,B,"Fugard was from this country, where authors like Nadine Gordimer and Alan Paton wrote about apartheid.","Republic of South Africa [or RSA, or Republiek van Suid-Afrika, or iRiphabhuliki yaseNingizimu Afrika, or answers in any of South Africa’s other eight official languages -- consult Wikipedia if you actually need to]"
2020 ERIS,11,4,C,Alan Paton wrote this novel about the elderly Zulu priest Stephen Kumalo who travels to Johannesburg and deals with his son Absalom's murder of Arthur Jarvis.,"Cry, the Beloved Country <Farra, Literature>"
2020 ERIS,11,5,L,"You are the Lorax. Speak for some trees, for 10 points each:",
2020 ERIS,11,5,A,"Most trees are covered in these objects, at least during the summer. These flat green structures allow the trees to ""breathe"", and during the fall they may change color.",leaves [or a leaf]
2020 ERIS,11,5,B,"Trees whose leaves change color and fall off every winter are referred to by this term, which is contrasted with ""evergreen"".",deciduous trees
2020 ERIS,11,5,C,"Many evergreen trees fall into this category of plants which bear exposed seeds, whose name comes from the Greek for ""naked seed"". They are contrasted with angiosperms.","gymnosperms [or Acrogymnospermae] <Gollamudi, Science>"
2020 ERIS,11,6,L,"After one man performed this action in 1865, he jumped onto the stage of a theatre and shouted ""Sic Semper Tyrannis"". For 10 points each:",
2020 ERIS,11,6,A,"Identify this action, which was also performed on November 22, 1963 in Dallas, Texas. A description is acceptable.","assassinating the President of the United States [accept any answers which involve killing or murdering or shooting the President; accept POTUS in place of “the President”; prompt on just murder or assassination or similar answers by asking ""who was the victim?""]"
2020 ERIS,11,6,B,"This actor shouted ""Sic Semper Tyrannis"", or ""thus always to tyrants"", after shooting Abraham Lincoln in 1865.",John Wilkes Booth
2020 ERIS,11,6,C,"After the assassination of William McKinley, Congress passed a law to task the Secret Service with protecting the president. The Secret Service was originally a branch of the Treasury Department tasked with preventing this crime.","counterfeiting money [accept obvious equivalents like making fake money] <Singh, History>"
2020 ERIS,11,7,L,A bay in this island contains the smaller Gonave Island. For 10 points each:,
2020 ERIS,11,7,A,"Name this Caribbean island split between two countries, the French-colonized Haiti in the west and a larger Spanish-speaking country in the east.","Hispaniola [or La Española, or Ispayola; note that the indigenous name for the island is ""Haiti"" but we cannot accept that as it's already in the question]"
2020 ERIS,11,7,B,"This country occupies the eastern portion of Hispaniola. Its tourist attractions include Pico Duarte and Lake Enriquillo, and its capital is Santo Domingo.","Dominican Republic [or Repúblicana Dominicana, do NOT accept or prompt on Dominica as that is a completely different Caribbean island country]"
2020 ERIS,11,7,C,"This is the most popular sport in the Dominican Republic. David Ortiz, Sammy Sosa, Bartolo Colón, and Albert Pujols are among the many Dominicans who have achieved success as professional athletes in this sport.","baseball [or beisból] <Stewart, Geography>"
2020 ERIS,11,8,L,Benoît Mandelbrot (ben-WAH MAN-del-broh) argued that Great Britain's coastline was one of these things. For 10 points each:,
2020 ERIS,11,8,A,"Name these self-similar figures which include the Sierpiński triangle, the Cantor set, the dragon curve, and others.",fractals
2020 ERIS,11,8,B,"A fractal named for Niels von Koch and this kind of figure can be constructed by starting with a triangle, then adding triangles with smaller bases onto the straight lines, and repeating infinitely.",snowflake
2020 ERIS,11,8,C,"Fractals have a ""Hausdorff"" variety of this concept which can be a non-integer and measures the complexity of a fractal. Shapes like circles and squares exist in a plane, which has two of these, whereas solid objects like cubes have three of them.","dimensions <Karpov, Mathematics>"
2020 ERIS,11,9,L,"During a study at Yale University, subjects demonstrated an unexpected willingness to take this action. For 10 points each:",
2020 ERIS,11,9,A,"Describe this action, the focus of Stanley Milgram’s obedience experiment. In that experiment, subjects were instructed to do this to “learners” who failed at a word-memorization task, and generally did so despite being told that it could be extremely painful.",giving them an electric shock [accept any answers indicating shocking them or electrocuting them; prompt on hurting them or causing pain or similar answers by asking “in what manner?”]
2020 ERIS,11,9,B,"Milgram was inspired to conduct the experiment to determine whether the millions of people involved in perpetrating this atrocity could have been merely ""following orders"". During this event, over six million Jews were killed and millions more forced to flee Europe.","the Holocaust [or the Shoah, or HaShoah; prompt on World War II]"
2020 ERIS,11,9,C,"This German-American Jewish philosopher also explored the motivations of Holocaust perpetrators, coining the phrase ""the banality of evil"" to explain it. She also wrote the books Eichmann in Jerusalem and The Origins of Totalitarianism.","Hannah Arendt <Gunter, Social Science>"
2020 ERIS,11,10,L,"This man depicted a skull in the title object in his painting Eye, and he depicted two hands drawing each other in his Drawing Hands. For 10 points each:",
2020 ERIS,11,10,A,Name this Dutch artist known for his tessellations and depictions of paradoxes such as waterfalls which flow into themselves.,M. C. Escher [or Maurits Cornelis Escher]
2020 ERIS,11,10,B,"Escher's Hand with Reflecting Sphere is an unusual form of this type of artwork, in which the artist depicts themselves.",self-portraits
2020 ERIS,11,10,C,"Escher also painted a paradoxically infinite one of these structures in Ascending and Descending. Marcel Duchamp produced a painting of a ""Nude Descending"" one of these structures.","a staircase [accept obvious equivalents like a stairwell or stairway or just stairs] <Young, Fine Arts>"
2020 ERIS,11,11,L,"For 10 points each, answer some questions about very badly named military operations:",
2020 ERIS,11,11,A,"The goal of Operation Chattanooga Choo Choo was to bomb tracks for these vehicles, which passengers on the Trans-Siberian Railroad used.",trains [accept equivalents such as locomotives]
2020 ERIS,11,11,B,"Operations Breakfast, Lunch, Snack, Dinner, Supper, and Dessert were launched to bomb this country neighboring Vietnam during the Vietnam War.","Kingdom of Cambodia [or le Royaume du Cambodge, or Prĕəh Riəciənaacak Kampuciə; accept Democratic Kampuchea or Kâmpŭchéa Prâcheathippadey; accept Srok Khmae]"
2020 ERIS,11,11,C,"The U.S. occupied New Georgia in Operation Toenails in this war, which also included the battles of Iwo Jima and Okinawa.","World War II [or the Second World War] <Kher, History>"
2020 ERIS,11,12,L,"For 10 points each, answer the following about geographical locations related to the song ""Take Me Home, Country Roads"":",
2020 ERIS,11,12,A,"""Take Me Home, Country Roads"" is the official state anthem of this U.S. state. The song claims that this state is ""almost heaven"" and compares its mountains to a motherly figure.",West Virginia
2020 ERIS,11,12,B,"This is the last name of the singer of ""Take Me Home, Country Roads."" This is also the name of a city nicknamed the ""Mile High City"", the capital of Colorado.",Denver [accept John Denver]
2020 ERIS,11,12,C,"The second line of ""Take Me Home, Country Roads"" mentions both the Blue Ridge Mountains and this Virginia river, the largest tributary of the Potomac. A folk song with the same name as this river says ""we're bound away / across the wide Missouri"".","Shenandoah River [accept “Oh, Shenandoah”] <Kher, Geography>"
2020 ERIS,11,13,L,"People who construct these puzzles are sometimes referred to as ""cruciverbalists"". For 10 points each:",
2020 ERIS,11,13,A,"Name these word puzzles which contain ""Across"" and ""Down"" clues, and consist of a grid in which words must be filled in all the empty squares.",crossword puzzles
2020 ERIS,11,13,B,"This other kind of crossword more popular in Britain uses clues that contain complex puzzles like anagrams and other wordplay, and typically contains many more black squares than standard crosswords.",cryptic crosswords
2020 ERIS,11,13,C,"A well-known crossword is published every week in the Sunday edition of this newspaper. Its slogan is ""All the News that's Fit to Print"".","The New York Times [or the NYT; prompt on The Times] <McAvoy-Bickford, Miscellaneous>"
2020 ERIS,11,14,L,The stew cholent (kho-lent) is traditionally eaten for one meal on this day. For 10 points each:,
2020 ERIS,11,14,A,Name this Jewish observance that falls on the seventh day of the week. Observant Orthodox Jews often refrain from work on this day.,Shabbat [or Shabbos or the Sabbath; prompt on Saturday]
2020 ERIS,11,14,B,"The challah bread is covered while this blessing is recited during Shabbat. This blessing is recited over wine or grape juice during the first meal of the Shabbat, on Friday night.","kiddush [do NOT accept or prompt on ""kaddish"", which is a different Jewish prayer]"
2020 ERIS,11,14,C,Wine or grape juice is also used to extinguish one of these objects at the end of Shabbat. One of these objects is lit on each day of Hanukkah.,"candles <McAvoy-Bickford, Religion>"
2020 ERIS,11,15,L,"Answer some questions about carbon-12's role in chemical measurement, for 10 points each:",
2020 ERIS,11,15,A,This unit of quantity is equal to the number of particles in 12 grams of carbon-12. The mass of one of these units for a specific element is that element's molecular weight.,mole
2020 ERIS,11,15,B,"One mole is equal to 6.02 x 10 23 , a number named for this Italian scientist.",Amedeo Avogadro [or Lorenzo Romano Amedeo Carlo Avogadro; accept Avogadro's number]
2020 ERIS,11,15,C,"One mole of the ""ideal"" form of this state of matter will occupy a volume of 22.4 liters at standard temperature and pressure. This state of matter expands to fill its containers and is the least dense of the three primary phases.","gas [or gaseous] <Sethi, Science>"
2020 ERIS,11,16,L,Anorthosite is a rock comprised almost entirely of this mineral. For 10 points each:,
2020 ERIS,11,16,A,What mineral which forms the continuous branch of Bowen's reaction series is the most common mineral in the Earth's crust?,feldspar
2020 ERIS,11,16,B,"Feldspar's molecular structure includes eight atoms of this element, which comprises almost half of the Earth's crust. The primary component of sand is a compound of silicon and this element called silica.",oxygen [prompt on O]
2020 ERIS,11,16,C,"Feldspar typically contains silicon, oxygen, an alkali metal, and this element, the most common metal in the Earth's crust. It is symbolized Al, and is commonly used to make foil.","aluminum [or aluminium; prompt on Al] <Sethi, Science>"
2020 ERIS,11,17,L,"Some of America's most celebrated writers were terribly shy people. For 10 points each, answer the following about some reclusive American authors:",
2020 ERIS,11,17,A,"There is only one known surviving photograph of this Massachusetts poet who spent much of her adult life in isolation. Her poems include ""I'm Nobody! Who are you?"" and ""I heard a Fly buzz— when I died”.",Emily [Elizabeth] Dickinson
2020 ERIS,11,17,B,This postmodernist author of The Crying of Lot 49 has managed to stay out of the public eye for six decades. He wrote about Tyrone Slothrop and the V-2 rocket in Gravity's Rainbow.,"Thomas Pynchon [or Thomas Ruggles Pynchon, Jr.]"
2020 ERIS,11,17,C,"Novels by the reclusive Cormac McCarthy include Blood Meridian and All the Pretty Horses, two examples of this literary genre. Actor John Wayne is also associated with this broad genre of fiction which frequently involves cowboys, sheriffs, and outlaws.","Western fiction [or Westerns; accept Wild West; accept American Old West] <Kang, Literature>"
2020 ERIS,11,18,L,"One star in this constellation experienced a drastic dimming during winter 2020, believed to have been caused by ""starspots"" covering over half its surface. For 10 points each:",
2020 ERIS,11,18,A,Name this constellation depicting a hunter from Greek mythology. Its most famous feature is the three stars that make up its belt.,Orion
2020 ERIS,11,18,B,"This supergiant variable star, which experienced the aforementioned dimming, is usually the second brightest star in Orion. It forms one of Orion's ""shoulders"".",Betelgeuse [accept Alpha Orionis]
2020 ERIS,11,18,C,"Astronomers believed that Betelgeuse's dimming could be a sign that it will undergo one of these events soon. In these events, a massive star collapses in on itself and explodes.","supernovae <Sethi, Science>"
2020 ERIS,11,19,L,"This event occurred after a driver made a wrong turn to a street where, according to popular legend, its perpetrator had stopped to get a sandwich. For 10 points each:",
2020 ERIS,11,19,A,Describe this event was perpetrated by Gavrilo Princip in Sarajevo by a Serbian nationalist group.,"assassination of Archduke Franz Ferdinand [accept any obvious equivalents, prompt on but DO NOT OTHERWISE REVEAL answers like the start of World War I]"
2020 ERIS,11,19,B,Franz Ferdinand's death sparked the beginning of this war which lasted from 1914 to 1918.,"World War I [or the First World War, or the Great War; accept The War to End All Wars]"
2020 ERIS,11,19,C,"This country was the first to mobilize forces to support Serbia, although it withdrew from the war after a 1917 revolution deposed its king Nicholas II.","Russian Empire <Kher, History>"
2020 ERIS,11,20,L,"Answer these questions about livestock in mythology and folktales, for 10 points each:",
2020 ERIS,11,20,A,"After this Mesopotamian love goddess is rejected by Gilgamesh, she unleashes the Bull of Heaven on him, leading to the death of his friend Enkidu.",Ishtar [accept Inanna]
2020 ERIS,11,20,B,This giant lumberjack in American folklore is accompanied by Babe the Blue Ox.,Paul Bunyan
2020 ERIS,11,20,C,"The goat Heiðrún (HAY-dhroon) grazes from the tree Læraðr (LIE-rah-dhur) atop this location, and produces vast quantities of mead. This giant hall owned by Odin is the final resting place for the einherjar (AIN-hair-yaar), the souls of fallen warriors, who are led to this place by valkyries.","Valhalla [or Valhöll] <Gjesfjeld, Mythology>"
2020 ERIS,12,1,L,"Seven small kingdoms fought for control of this country during the Warring States period, which resulted in the state of Qin (chin) emerging supreme. For 10 points each:",
2020 ERIS,12,1,A,Name this country whose capital during the Qin Dynasty was located at Xi'an (SEE-ahn).,China [or Zhongguo]
2020 ERIS,12,1,B,"This first emperor of the Qin dynasty united China, ending the Warring States period. He is traditionally held to have perpetrated a burning of books and mass murder of scholars, which may not have actually happened.","Qin Shi Huang [or Qin Shi Huangdi, or Zhao Zheng, or Ying Zheng, or Zheng, King of Qin; prompt on Zheng; prompt on First Qin Emperor]"
2020 ERIS,12,1,C,Qin Shi Huang (chin shur hwahng) ordered the construction of a massive army of sculptures of soldiers made of this substance to protect him in the afterlife.,terracotta [prompt on ceramic or clay or pottery]
2020 ERIS,12,2,L,"This man penned an elegy for himself, writing that “I hope to see my Pilot face to face / when I have crossed the bar”. For 10 points each:",
2020 ERIS,12,2,A,"Name this British poet of ""Crossing the Bar"". Another of his poems is set during the Crimean War and describes a cavalry unit at the Battle of Balaclava.","Alfred, Lord Tennyson"
2020 ERIS,12,2,B,"This Tennyson poem opens ""Half a league, half a league / half a league onward”. Its final stanza asks ""When can their glory fade? / O the wild charge they made!"".","""The Charge of the Light Brigade"""
2020 ERIS,12,2,C,“The Charge of the Light Brigade” describes the cavalry riding into the “valley of” this concept. An Emily Dickinson poem begins “Because I could not stop for [this concept] -- / He kindly stopped for me”.,death
2020 ERIS,12,3,L,This painting depicts James Monroe holding up an American flag. For 10 points each:,
